date,year,month,period_type,product_code,product_name,criticality,fab_code,fab_name,demand_units,forecast_units,capacity_units,supply_units,demand_fulfilled_units,shortage_units,inventory_begin_units,inventory_end_units
2024-01-01,2024,1,Actual,MCU-A32,Microcontroller A32,High,FAB1-TW,Fab 1 - Taiwan,176370,176124,217350,220402,176370,0,189000,233031
2024-01-01,2024,1,Actual,MCU-A32,Microcontroller A32,High,FAB2-AZ,Fab 2 - Arizona,117542,117416,138600,134449,117542,0,126000,142907
2024-01-01,2024,1,Actual,MCU-A32,Microcontroller A32,High,FAB3-SG,Fab 3 - Singapore,98855,97847,110250,109661,98855,0,105000,115806
2024-01-01,2024,1,Actual,MEM-D4,DRAM Memory D4,High,FAB1-TW,Fab 1 - Taiwan,257260,259525,315675,323021,257260,0,274500,340261
2024-01-01,2024,1,Actual,MEM-D4,DRAM Memory D4,High,FAB2-AZ,Fab 2 - Arizona,172956,173017,201300,201745,172956,0,183000,211789
2024-01-01,2024,1,Actual,MEM-D4,DRAM Memory D4,High,FAB3-SG,Fab 3 - Singapore,140161,144181,160125,156876,140161,0,152500,169215
2024-01-01,2024,1,Actual,LOGIC-X7,Logic IC X7,Critical,FAB1-TW,Fab 1 - Taiwan,111021,117190,134550,134264,111021,0,117000,140243
2024-01-01,2024,1,Actual,LOGIC-X7,Logic IC X7,Critical,FAB2-AZ,Fab 2 - Arizona,74739,78126,85800,83306,74739,0,78000,86567
2024-01-01,2024,1,Actual,LOGIC-X7,Logic IC X7,Critical,FAB3-SG,Fab 3 - Singapore,61242,65105,68250,68919,61242,0,65000,72677
2024-01-01,2024,1,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB1-TW,Fab 1 - Taiwan,149333,142090,175950,176823,149333,0,153000,180491
2024-01-01,2024,1,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB2-AZ,Fab 2 - Arizona,100357,94726,112200,109702,100357,0,102000,111345
2024-01-01,2024,1,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB3-SG,Fab 3 - Singapore,83278,78939,89250,86547,83278,0,85000,88268
2024-01-01,2024,1,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB1-TW,Fab 1 - Taiwan,67891,73830,93150,94782,67891,0,81000,107891
2024-01-01,2024,1,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB2-AZ,Fab 2 - Arizona,46718,49220,59400,57952,46718,0,54000,65234
2024-01-01,2024,1,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB3-SG,Fab 3 - Singapore,39072,41016,47250,46303,39072,0,45000,52231
2024-02-01,2024,2,Actual,MCU-A32,Microcontroller A32,High,FAB1-TW,Fab 1 - Taiwan,190183,187526,220176,223780,190183,0,233031,266629
2024-02-01,2024,2,Actual,MCU-A32,Microcontroller A32,High,FAB2-AZ,Fab 2 - Arizona,128114,125017,141372,142361,128114,0,142907,157154
2024-02-01,2024,2,Actual,MCU-A32,Microcontroller A32,High,FAB3-SG,Fab 3 - Singapore,106786,104181,111463,112529,106786,0,115806,121549
2024-02-01,2024,2,Actual,MEM-D4,DRAM Memory D4,High,FAB1-TW,Fab 1 - Taiwan,269410,268095,319779,322972,269410,0,340261,393823
2024-02-01,2024,2,Actual,MEM-D4,DRAM Memory D4,High,FAB2-AZ,Fab 2 - Arizona,180404,178730,205326,211486,180404,0,211789,242871
2024-02-01,2024,2,Actual,MEM-D4,DRAM Memory D4,High,FAB3-SG,Fab 3 - Singapore,148617,148941,161886,158329,148617,0,169215,178927
2024-02-01,2024,2,Actual,LOGIC-X7,Logic IC X7,Critical,FAB1-TW,Fab 1 - Taiwan,123304,127323,136299,138578,123304,0,140243,155517
2024-02-01,2024,2,Actual,LOGIC-X7,Logic IC X7,Critical,FAB2-AZ,Fab 2 - Arizona,83701,84882,87516,87351,83701,0,86567,90217
2024-02-01,2024,2,Actual,LOGIC-X7,Logic IC X7,Critical,FAB3-SG,Fab 3 - Singapore,65886,70735,69001,68266,65886,0,72677,75058
2024-02-01,2024,2,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB1-TW,Fab 1 - Taiwan,159000,142666,178237,179140,159000,0,180491,200631
2024-02-01,2024,2,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB2-AZ,Fab 2 - Arizona,105260,95110,114444,116100,105260,0,111345,122185
2024-02-01,2024,2,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB3-SG,Fab 3 - Singapore,89299,79259,90232,92939,89299,0,88268,91908
2024-02-01,2024,2,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB1-TW,Fab 1 - Taiwan,82564,79239,94361,92792,82564,0,107891,118118
2024-02-01,2024,2,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB2-AZ,Fab 2 - Arizona,56729,52826,60588,59901,56729,0,65234,68406
2024-02-01,2024,2,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB3-SG,Fab 3 - Singapore,46325,44022,47770,48486,46325,0,52231,54391
2024-03-01,2024,3,Actual,MCU-A32,Microcontroller A32,High,FAB1-TW,Fab 1 - Taiwan,190719,200172,223038,218209,190719,0,266629,294119
2024-03-01,2024,3,Actual,MCU-A32,Microcontroller A32,High,FAB2-AZ,Fab 2 - Arizona,130508,133448,144199,145398,130508,0,157154,172045
2024-03-01,2024,3,Actual,MCU-A32,Microcontroller A32,High,FAB3-SG,Fab 3 - Singapore,112632,111206,112689,112647,112632,0,121549,121564
2024-03-01,2024,3,Actual,MEM-D4,DRAM Memory D4,High,FAB1-TW,Fab 1 - Taiwan,307853,301092,323936,329724,307853,0,393823,415694
2024-03-01,2024,3,Actual,MEM-D4,DRAM Memory D4,High,FAB2-AZ,Fab 2 - Arizona,201977,200728,209433,205198,201977,0,242871,246092
2024-03-01,2024,3,Actual,MEM-D4,DRAM Memory D4,High,FAB3-SG,Fab 3 - Singapore,170422,167273,163667,164914,170422,0,178927,173419
2024-03-01,2024,3,Actual,LOGIC-X7,Logic IC X7,Critical,FAB1-TW,Fab 1 - Taiwan,138733,127829,138071,137080,138733,0,155517,153864
2024-03-01,2024,3,Actual,LOGIC-X7,Logic IC X7,Critical,FAB2-AZ,Fab 2 - Arizona,91848,85219,89266,89472,91848,0,90217,87841
2024-03-01,2024,3,Actual,LOGIC-X7,Logic IC X7,Critical,FAB3-SG,Fab 3 - Singapore,73411,71016,69760,68185,73411,0,75058,69832
2024-03-01,2024,3,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB1-TW,Fab 1 - Taiwan,165600,175463,180554,183042,165600,0,200631,218073
2024-03-01,2024,3,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB2-AZ,Fab 2 - Arizona,103465,116976,116733,118393,103465,0,122185,137113
2024-03-01,2024,3,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB3-SG,Fab 3 - Singapore,91529,97480,91224,90221,91529,0,91908,90600
2024-03-01,2024,3,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB1-TW,Fab 1 - Taiwan,88442,87402,95588,93571,88442,0,118118,123246
2024-03-01,2024,3,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB2-AZ,Fab 2 - Arizona,56508,58268,61800,63483,56508,0,68406,75382
2024-03-01,2024,3,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB3-SG,Fab 3 - Singapore,47072,48557,48295,47943,47072,0,54391,55262
2024-04-01,2024,4,Actual,MCU-A32,Microcontroller A32,High,FAB1-TW,Fab 1 - Taiwan,214723,199831,225937,220471,214723,0,294119,299867
2024-04-01,2024,4,Actual,MCU-A32,Microcontroller A32,High,FAB2-AZ,Fab 2 - Arizona,145045,133220,147083,147093,145045,0,172045,174093
2024-04-01,2024,4,Actual,MCU-A32,Microcontroller A32,High,FAB3-SG,Fab 3 - Singapore,124192,111017,113928,114568,124192,0,121564,111941
2024-04-01,2024,4,Actual,MEM-D4,DRAM Memory D4,High,FAB1-TW,Fab 1 - Taiwan,329250,294473,328147,330268,329250,0,415694,416712
2024-04-01,2024,4,Actual,MEM-D4,DRAM Memory D4,High,FAB2-AZ,Fab 2 - Arizona,227720,196315,213621,206440,227720,0,246092,224812
2024-04-01,2024,4,Actual,MEM-D4,DRAM Memory D4,High,FAB3-SG,Fab 3 - Singapore,186997,163596,165467,167424,186997,0,173419,153846
2024-04-01,2024,4,Actual,LOGIC-X7,Logic IC X7,Critical,FAB1-TW,Fab 1 - Taiwan,142878,140283,139866,138407,142878,0,153864,149393
2024-04-01,2024,4,Actual,LOGIC-X7,Logic IC X7,Critical,FAB2-AZ,Fab 2 - Arizona,92777,93522,91052,91408,92777,0,87841,86472
2024-04-01,2024,4,Actual,LOGIC-X7,Logic IC X7,Critical,FAB3-SG,Fab 3 - Singapore,78990,77935,70527,72643,78990,0,69832,63485
2024-04-01,2024,4,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB1-TW,Fab 1 - Taiwan,162515,174193,182902,181455,162515,0,218073,237013
2024-04-01,2024,4,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB2-AZ,Fab 2 - Arizona,112437,116129,119068,121030,112437,0,137113,145705
2024-04-01,2024,4,Actual,ANALOG-P9,Power Mgmt IC P9,Medium,FAB3-SG,Fab 3 - Singapore,95911,96774,92228,92146,95911,0,90600,86836
2024-04-01,2024,4,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB1-TW,Fab 1 - Taiwan,89175,93957,96830,97782,89175,0,123246,131854
2024-04-01,2024,4,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB2-AZ,Fab 2 - Arizona,58017,62638,63036,64465,58017,0,75382,81829
2024-04-01,2024,4,Actual,SENSOR-S2,Sensor IC S2,Medium,FAB3-SG,Fab 3 - Singapore,49121,52198,48826,49510,49121,0,55262,55651
2024-05-01,2024,5,Actual,MCU-A32,Microcontroller A32,High,FAB1-TW,Fab 1 - Taiwan,228679,224301,228875,235741,228679,0,299867,306929
2024-05-01,2024,5,Actual,MCU-A32,Microcontroller A32,High,FAB2-AZ,Fab 2 - Arizona,152323,149534,150025,149137,152323,0,174093,170907
2024-05-01,2024,5,Actual,MCU-A32,Microcontroller A32,High,FAB3-SG,Fab 3 - Singapore,126603,124611,115182,118597,126603,0,111941,103935
2024-05-01,2024,5,Actual,MEM-D4,DRAM Memory D4,High,FAB1-TW,Fab 1 - Taiwan,332861,332149,332413,329003,332861,0,416712,412855
