category,rank,supplier_id,topsis_score,unit_cost,otif_rate,defect_ppm,capacity_headroom,p_disruption_3m,allocated_units,cost_only_units
C00,1,S144,1.0,11.884,1.0,98.031,0.41,0.023,543.246,543.246
C00,2,S216,0.915,16.376,0.955,182.217,0.354,0.039,757.402,551.753
C00,3,S048,0.903,14.66,0.96,271.95,0.325,0.031,442.943,442.943
C00,4,S168,0.892,15.677,0.966,247.007,0.309,0.047,610.463,610.463
C00,5,S156,0.89,12.776,1.0,198.505,0.393,0.092,712.0,712.0
C00,6,S108,0.862,19.033,0.954,279.925,0.297,0.026,273.886,0.0
C00,7,S072,0.807,19.588,1.0,418.086,0.354,0.083,350.146,0.0
C00,8,S036,0.803,24.343,0.957,308.358,0.364,0.061,0.0,0.0
C00,9,S120,0.77,21.353,0.898,412.15,0.362,0.115,0.0,0.0
C00,10,S180,0.759,22.589,0.953,425.106,0.29,0.105,0.0,0.0
C00,11,S096,0.751,25.187,0.902,361.08,0.234,0.092,0.0,0.0
C00,12,S060,0.739,21.801,0.914,351.174,0.137,0.112,0.0,0.0
C00,13,S228,0.684,23.27,0.875,505.283,0.311,0.169,0.0,0.0
C00,14,S024,0.656,15.709,0.874,424.744,0.25,0.224,0.0,664.5
C00,15,S012,0.655,20.599,0.929,685.364,0.216,0.166,0.0,0.0
C00,16,S084,0.653,19.482,0.915,270.925,0.311,0.238,0.0,0.0
C00,17,S000,0.63,13.122,0.901,479.419,0.191,0.238,0.0,165.181
C00,18,S132,0.593,19.858,0.943,534.375,0.251,0.252,0.0,0.0
C00,19,S192,0.586,26.97,0.923,419.167,0.237,0.244,0.0,0.0
C00,20,S204,0.099,20.048,0.886,635.852,0.037,0.647,0.0,0.0
C01,1,S217,0.862,19.874,0.998,0.0,0.536,0.012,491.804,0.0
C01,2,S001,0.823,14.008,0.925,2.003,0.421,0.083,1133.618,1133.618
C01,3,S025,0.766,21.523,1.0,174.572,0.342,0.02,863.572,0.0
C01,4,S157,0.729,22.586,0.964,388.585,0.513,0.017,1244.978,0.0
C01,5,S181,0.717,24.005,0.951,274.132,0.359,0.03,203.787,0.0
C01,6,S061,0.701,23.244,0.894,206.084,0.408,0.085,0.0,0.0
C01,7,S049,0.686,14.465,0.976,7.256,0.201,0.122,0.0,473.255
C01,8,S169,0.663,25.585,0.936,340.589,0.309,0.043,0.0,0.0
C01,9,S145,0.654,24.776,0.876,262.591,0.283,0.074,0.0,0.0
C01,10,S229,0.636,19.649,0.918,427.082,0.286,0.085,0.0,587.148
C01,11,S073,0.574,19.52,0.895,476.903,0.193,0.105,0.0,249.44
C01,12,S037,0.513,24.65,0.936,462.845,0.318,0.15,0.0,0.0
C01,13,S205,0.487,25.345,0.953,601.159,0.25,0.131,0.0,0.0
C01,14,S193,0.465,16.049,0.923,265.966,0.191,0.239,0.0,171.821
C01,15,S013,0.451,26.668,0.879,246.426,0.191,0.205,0.0,0.0
C01,16,S121,0.344,20.83,0.866,535.971,0.174,0.246,0.0,0.0
C01,17,S085,0.336,11.61,0.87,572.58,0.328,0.349,0.0,888.879
C01,18,S133,0.316,17.783,0.879,428.06,0.185,0.317,0.0,195.373
C01,19,S097,0.275,18.601,0.868,444.199,0.233,0.365,0.0,238.227
C01,20,S109,0.076,31.361,0.876,788.713,0.165,0.329,0.0,0.0
C02,1,S206,0.942,16.563,0.971,144.781,0.44,0.035,1093.063,1093.063
C02,2,S134,0.882,18.579,0.973,158.221,0.361,0.042,914.504,87.473
C02,3,S182,0.82,13.436,0.963,370.309,0.293,0.062,412.463,412.463
C02,4,S074,0.792,20.631,0.997,236.204,0.282,0.065,0.0,0.0
C02,5,S230,0.784,15.763,0.906,465.547,0.277,0.054,540.281,540.281
C02,6,S122,0.775,19.226,0.971,505.393,0.345,0.055,586.077,0.0
C02,7,S002,0.668,26.509,0.922,352.769,0.391,0.114,0.0,0.0
C02,8,S086,0.652,17.514,0.904,462.006,0.11,0.095,0.0,210.136
C02,9,S014,0.6,34.012,0.987,384.106,0.359,0.102,0.0,0.0
C02,10,S038,0.587,17.571,0.895,492.881,0.175,0.149,0.0,153.338
C02,11,S050,0.575,19.324,0.95,371.275,0.192,0.167,0.0,0.0
C02,12,S098,0.569,17.281,0.933,304.266,0.254,0.194,0.0,531.555
C02,13,S026,0.547,25.762,0.841,400.477,0.194,0.152,0.0,0.0
C02,14,S170,0.544,19.654,0.937,394.048,0.192,0.181,0.0,0.0
C02,15,S110,0.524,19.04,0.911,683.962,0.26,0.169,0.0,0.0
C02,16,S158,0.517,35.454,0.945,452.996,0.3,0.136,0.0,0.0
C02,17,S194,0.487,15.671,0.878,1083.253,0.213,0.148,0.0,264.715
C02,18,S062,0.398,16.008,0.885,661.984,0.138,0.251,0.0,253.363
C02,19,S218,0.348,20.543,0.873,529.345,0.226,0.305,0.0,0.0
